jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|serial:n,  modelParams|sensorParams|encoders|Servo8:n,  modelParams|sensorParams|encoders|Reads:n,  modelParams|sensorParams|encoders|FlyHeight9:n,  modelParams|sensorParams|encoders|FlyHeight8:n,  modelParams|sensorParams|encoders|GList1:n,  modelParams|sensorParams|encoders|Hours:n,  modelParams|sensorParams|encoders|Temp4:n,  modelParams|sensorParams|encoders|Writes:n,  modelParams|sensorParams|encoders|ReadError14:n,  modelParams|sensorParams|encoders|ReadError18:n,  modelParams|sensorParams|encoders|ReadError12:n,  modelParams|sensorParams|encoders|Temp5:n,  modelParams|sensorParams|encoders|FlyHeight13:n,  modelParams|sensorParams|encoders|Temp3:n,  modelParams|sensorParams|encoders|ReadError19:n,  modelParams|sensorParams|encoders|FlyHeight2:n,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|GList2:n,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|ReadError20:n,  modelParams|sensorParams|encoders|Temp6:n,  modelParams|sensorParams|encoders|ReadError9:n,  modelParams|sensorParams|encoders|FlyHeight11:n,  modelParams|sensorParams|encoders|ReadError8:n,  modelParams|sensorParams|encoders|Temp1:n,  modelParams|spParams|synPermInactiveDec,  modelParams|sensorParams|encoders|GList3:n,  modelParams|sensorParams|encoders|Temp2:n,  modelParams|sensorParams|encoders|Frame:n,  modelParams|sensorParams|encoders|FlyHeight3:n,  modelParams|sensorParams|encoders|ReadError15:n,  modelParams|sensorParams|encoders|ReadError2:n,  modelParams|sensorParams|encoders|FlyHeight10:n,  modelParams|sensorParams|encoders|HoursBeforeFail:n,  modelParams|sensorParams|encoders|ReadError7:n,  modelParams|sensorParams|encoders|ReadError10:n,  modelParams|sensorParams|encoders|FlyHeight7:n,  modelParams|sensorParams|encoders|Servo2:n,  modelParams|sensorParams|encoders|FlyHeight1:n,  modelParams|sensorParams|encoders|FlyHeight14:n,  modelParams|sensorParams|encoders|Servo10:n,  modelParams|sensorParams|encoders|ReadError13:n,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|FlyHeight12:n,  modelParams|sensorParams|encoders|WriteError:n,  modelParams|sensorParams|encoders|FlyHeight5:n,  modelParams|sensorParams|encoders|Servo4:n,  modelParams|sensorParams|encoders|FlyHeight4:n,  modelParams|sensorParams|encoders|PList:n,  modelParams|sensorParams|encoders|CSS:n,  modelParams|sensorParams|encoders|FlyHeight16:n,  modelParams|sensorParams|encoders|FlyHeight6:n,  modelParams|sensorParams|encoders|Servo3:n,  modelParams|sensorParams|encoders|ReadError1:n,  modelParams|sensorParams|encoders|Servo1:n,  modelParams|sensorParams|encoders|Servo7:n,  modelParams|tpParams|minThreshold,  modelParams|sensorParams|encoders|FlyHeight15:n,  modelParams|sensorParams|encoders|Servo6:n,  modelParams|sensorParams|encoders|Servo5:n,  modelParams|sensorParams|encoders|ReadError5:n,  modelParams|sensorParams|encoders|Servo9:n,  modelParams|sensorParams|encoders|ReadError4:n,  modelParams|sensorParams|encoders|ReadError11:n,  modelParams|sensorParams|encoders|ReadError6:n,  modelParams|sensorParams|encoders|ReadError16:n,  modelParams|sensorParams|encoders|ReadError3:n,  multiStepBestPredictions:multiStep:errorMetric='avg_err':steps=[1]:window=1000:field=class, 
1004,  1486,  completed,  eof,  2015-10-12 17:47:29,  2015-10-12 18:22:28,  2099,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|FlyHeight3:n_272.modelParams|spParams|synPermInactiveDec_0.05015,  68411,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.05005,  None,  14,  None,  None,  None,  None,  None,  None,  0.05015,  None,  None,  None,  272,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  3,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  11,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0, 
1004,  1487,  completed,  eof,  2015-10-12 17:53:39,  2015-10-12 18:37:15,  2616,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|sensorParams|encoders|FlyHeight4:n_272.modelParams|spParams|synPermInactiveDec_0.05015.modelParams|tpParams|pamLength_3,  68411,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.05005,  None,  14,  None,  None,  None,  None,  None,  None,  0.05015,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  3,  None,  None,  None,  None,  272,  None,  None,  None,  None,  None,  None,  None,  None,  11,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0, 
1004,  1488,  completed,  eof,  2015-10-12 18:13:43,  2015-10-12 18:21:29,  466,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|FlyHeight5:n_272.modelParams|spParams|synPermInactiveDec_0.05015,  68411,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.05005,  None,  14,  None,  None,  None,  None,  None,  None,  0.05015,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  3,  None,  None,  272,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  11,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0, 
1004,  1489,  completed,  eof,  2015-10-12 18:18:26,  2015-10-12 18:34:39,  973,  modelParams|sensorParams|encoders|FlyHeight6:n_272.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.05015,  68411,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.05005,  None,  14,  None,  None,  None,  None,  None,  None,  0.05015,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  3,  None,  None,  None,  None,  None,  None,  None,  None,  272,  None,  None,  None,  None,  11,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0, 
1004,  1490,  completed,  eof,  2015-10-12 18:21:29,  2015-10-12 18:38:28,  1019,  modelParams|sensorParams|encoders|FlyHeight7:n_272.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.05015,  68411,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.05005,  None,  14,  None,  None,  None,  None,  None,  None,  0.05015,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  272,  None,  None,  None,  None,  None,  3,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  11,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0, 
1004,  1491,  completed,  eof,  2015-10-12 18:22:29,  2015-10-12 18:57:02,  2073,  modelParams|sensorParams|encoders|FlyHeight8:n_272.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|spParams|synPermInactiveDec_0.05015,  68411,  None,  None,  None,  None,  272,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.05005,  None,  14,  None,  None,  None,  None,  None,  None,  0.05015,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  3,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  11,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0, 
1004,  1492,  completed,  eof,  2015-10-12 18:34:39,  2015-10-12 19:13:28,  2329,  modelParams|sensorParams|encoders|FlyHeight9:n_272.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.05015,  68411,  None,  None,  None,  272,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.05005,  None,  14,  None,  None,  None,  None,  None,  None,  0.05015,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  3,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  11,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0, 
1004,  1493,  completed,  eof,  2015-10-12 18:37:15,  2015-10-12 18:45:08,  473,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|Frame:n_272.modelParams|spParams|synPermInactiveDec_0.05015,  68411,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.05005,  None,  14,  None,  None,  None,  None,  None,  None,  0.05015,  None,  None,  272,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  3,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  11,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0, 
1004,  1494,  completed,  eof,  2015-10-12 18:38:28,  2015-10-12 18:47:55,  567,  modelParams|tpParams|activationThreshold_14.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|sensorParams|encoders|GList1:n_272.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.05015,  68411,  None,  None,  None,  None,  None,  272,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.05005,  None,  14,  None,  None,  None,  None,  None,  None,  0.05015,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  3,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  11,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0, 
1004,  1495,  completed,  eof,  2015-10-12 18:45:09,  2015-10-12 18:54:48,  579,  modelParams|tpParams|minThreshold_11.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|GList2:n_272.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.05015,  68411,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.05005,  272,  14,  None,  None,  None,  None,  None,  None,  0.05015,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  3,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  11,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0, 
1004,  1496,  completed,  eof,  2015-10-12 18:47:55,  2015-10-12 18:58:18,  623,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|GList3:n_272.modelParams|spParams|synPermInactiveDec_0.05015,  68411,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.05005,  None,  14,  None,  None,  None,  None,  None,  None,  0.05015,  272,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  3,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  11,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0, 
